source,target
https://www.merdeka.com/,https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3
https://www.merdeka.com/,https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik/di-endorse-prabowo-di-pilkada-jateng-luthfi-sebagai-ketum-parpol-beliau-dukung-kami-232712-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/uang/cerita-zulhas-25-tahun-berkarir-politik-akhirnya-kesampaian-jadi-menko-pangan-232946-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik
https://www.merdeka.com/,https://www.merdeka.com/politik/warga-tanah-merah-balik-badan-dukung-rk-kubu-pramono-anung-klarifikasi-232961-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik/
https://www.merdeka.com/,https://www.merdeka.com/politik/kpu-masih-tunggu-keputusan-pemerintah-terkait-libur-nasional-hari-pencoblosan-pilkada-2024-232914-mvk.html
https://www.merdeka.com/,https://www.merdeka.com/politik/lepas-kaosnya-batal-dukung-pramono-rano-warga-tanah-merah-lebih-pilih-ridwan-kamil-232927-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/surya-paloh-soal-prabowo-ingin-rutin-kumpulkan-ketum-parpol-goal-besarnya-kita-semakin-maju-dalam-berbangsa-232784-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/jurus-ahmad-luthfi-gus-yasin-agar-milenial-di-jateng-terjun-bertani-232741-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/prabowo-terang-terangan-endorse-ahmad-luthfi-sekjen-nasdem-beliau-ketua-partai-punya-subjektivitas-232764-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/elektabilitas-jeje-ronald-paling-buncit-hasto-tetap-yakin-jagoannya-bisa-menang-di-pilkada-jabar-232171-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/bawaslu-ultimatum-suswono-beri-kesempatan-lima-kali-klarifikasi-ucapan-janda-kaya-nikahi-pemuda-pengangguran-231643-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/kampanye-untuk-hairan-amin-kaesang-saya-diminta-pak-jokowi-231733-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/debat-panas-pilkada-bali-cagub-kader-pdip-ditanya-taati-perintah-presiden-atau-ketum-partai-232381-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/sediakan-wifi-gratis-airin-ade-janji-permudah-pelayanan-dengan-digitalisasi-di-pemprov-banten-232305-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/prabowo-ahmad-luthfi-dan-taj-yasin-dua-tokoh-yang-tepat-untuk-jateng-232162-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/video-tutup-debat-pilkada-airin-bahas-kekuasan-andra-singgung-prabowo-soal-pemimpin-tak-perkaya-diri-231682-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/maju-pilkada-sulteng-ahmad-ali-insya-allah-tak-ada-niat-tambah-harta-kekayaan-232185-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/video-ekspresi-airin-disebut-cawagub-pdip-timses-prabowo-saat-debat-panas-banten-bahas-presiden-231663-mvk.html
